id,second_annotator_comment,annotation,aspect_available_without_judgement,text,model,few_shot_condtion,split
a092022f-bb23-4e8e-ae2b-54f7a47efcef,,"('FOOD', 'POSITIVE', 'Essen')
('SERVICE', 'POSITIVE', 'Service')
",,"Das Essen war sehr gut, der Service schnell und freundlich.",Llama70B,random,0
01e3462f-5fb9-47e3-99bb-870cba59052d,,"('AMBIENCE', 'NEGATIVE', 'Lärm')
",,Der Lärm war ziemlich schlimm.,Llama70B,random,0
a22e4161-c0c0-488a-8d39-b0db30549d0b,,"('SERVICE', 'NEGATIVE', 'Kellner')
",,Kellner war nicht freundlich und hat sich wenig um uns gekümmert.,Llama70B,random,0
64f9f69a-278c-4591-aef4-c15d7ffa2c75,,"('FOOD', 'POSITIVE', 'Essen')
",,Und das Essen war auch noch gut.,Llama70B,random,0
799bd697-ba96-41b8-ace9-e9063cfcfbd1,,"('SERVICE', 'POSITIVE', 'Service')
('AMBIENCE', 'NEUTRAL', 'Ambiente')
('FOOD', 'POSITIVE', 'Essen')
",,"Super Service, kein besonderes Ambiente und gutes Essen.",Llama70B,random,0
de30e0c8-ced7-4a78-bc3c-633d5b4dc753,,"('FOOD', 'NEGATIVE', 'Essen')
",,"Das Essen war sehr schlecht, das Fleisch roh.",Llama70B,random,0
38c21dba-a2f7-4132-872d-0411ed6c04d1,,,✅,"Wir hatten aber nur eine halbe Stunde Zeit und wären dann auch mit einem Service zufrieden gewesen, der uns nicht zum Abhauen zwingt.",Llama70B,random,0
7447d7dd-e0e3-41bb-b778-03dbe602076d,,"('PRICE', 'NEUTRAL', 'Preis/Leistungsverhältnis')
",,Und der Preis/Leistungsverhältnis ist auch noch in Ordnung.,Llama70B,random,0
ddc33217-fdd5-48ed-8852-7aaf7ea6b28e,,"('PRICE', 'POSITIVE', 'Preisniveau')
",,Das Preisniveau ist angemessen.,Llama70B,random,0
6a9533e9-2ffa-4c4f-80ab-42c81f39ce6a,,"('SERVICE', 'POSITIVE', 'NULL')
",,Das Essen war sehr schnell fertig.,Llama70B,random,0
47d23dbd-dfe6-407e-a432-a4482cb50ad6,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
('PRICE', 'POSITIVE', 'Preis')
",,Wir waren mit dem Preis und der Qualität sehr zufrieden.,Llama70B,random,0
e3d486c0-a63e-4ec6-a742-899e1af51e66,,"('FOOD', 'NEUTRAL', 'Essen')
",,"Das Essen war okay, aber nichts Besonderes.",Llama70B,random,0
a7e7b69e-4af3-47c1-8f47-180fc2a18138,,"('FOOD', 'POSITIVE', 'Essen')
",,Das Essen war sehr lecker.,Llama70B,random,0
eae318a0-b723-414e-8f47-e25341f1b0bf,,"('PRICE', 'NEUTRAL', 'Preise')
",,"Wir waren um 16 Uhr da, Preise sind ok.",Llama70B,random,0
3fa4c255-6223-4bef-89e6-341206e331dc,,"('FOOD', 'NEGATIVE', 'Essens')
",,Wir waren mit der Qualität des Essens nicht zufrieden.,Llama70B,random,0
adc9947f-cbd5-4dd9-b564-90dc5fa1c8be,,"('GENERAL-IMPRESSION', 'NEUTRAL', 'NULL')
",,"Gute Qualität, aber nichts Besonderes.",Llama70B,random,0
5e5232cf-2a65-492b-864e-3f4e47e682ef,,"('PRICE', 'POSITIVE', 'Preise')
",,Ganz angenehme Preise.,Llama70B,random,0
ffdc85ae-58a0-4d21-af7e-301b232c9458,,"('FOOD', 'POSITIVE', 'Bier')
('FOOD', 'NEGATIVE', 'Fleisch')
",,"Bier war gut, Fleisch nicht.",Llama70B,random,0
497070e0-50bb-4a17-a877-8b9daf929513,,"('FOOD', 'NEGATIVE', 'Speisen')
",,Die Speisen sind sehr einfach und uninspiriert.,Llama70B,random,0
b8cb5ac7-6661-4aeb-9426-d45dbf1efba8,,"('SERVICE', 'NEUTRAL', 'Service')
",,Der Service war in Ordnung.,Llama70B,random,0
8fd8d046-23e8-440f-b9a6-465a0acbb176,,"('PRICE', 'POSITIVE', 'Preis/Leistungsverhältnis')
",,Das Preis/Leistungsverhältnis ist gut.,Llama70B,random,0
f8fc47ca-ef10-47c1-b40f-41516d0aabfa,,,✅,"Wir waren im LOC am LOC, wo wir auch schon öfters gewesen sind.",Llama70B,random,0
2086eded-1292-4ff3-86b5-d03f6b56b7ed,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,Alles in allem ein schlechter Abend.,Llama70B,random,0
74b6ceff-72fb-48b3-b0a3-37de8208e9b0,,,✅,Wir waren mit unserer Familie (Kinder 10 und 7 Jahre) im LOC in der Atmosphäre des alten Münchner Wirtshauses.,Llama70B,random,0
f814cd35-a7ac-4b01-8472-cae2dacc02d6,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,Das Ambiente ist sehr schön.,Llama70B,random,0
3139bb10-6300-42eb-953e-95a078a998fb,,"('FOOD', 'POSITIVE', 'Tiramisu')
",,Habe den Tiramisu genossen.,Llama70B,random,0
24142bec-ba6e-4085-a41f-1adef9499c4c,,"('FOOD', 'NEGATIVE', 'Essen')
('AMBIENCE', 'NEGATIVE', 'Atmosphäre')
",,Der Essen war schlecht und die Atmosphäre eher laut.,Llama70B,random,0
d6840c9e-6bf2-481b-8b1e-d90a19dbe65c,,"('FOOD', 'POSITIVE', 'Essen')
",,Essen war gut und frisch.,Llama70B,random,0
4f52dac7-d062-46ab-b153-7f7c0dfebdff,,"('AMBIENCE', 'POSITIVE', 'Atmosphäre')
",,Die Atmosphäre ist gemütlich.,Llama70B,random,0
f5c3d208-b246-4215-bf1d-1b5aebbea357,,"('FOOD', 'NEGATIVE', 'Essen')
",,Das Essen war sehr schlecht.,Llama70B,random,0
fb28b5af-e952-4f38-8a68-4ed4670d3374,,"('PRICE', 'NEGATIVE', 'Portion')
",,Aber der Preis für die Portion war zu hoch.,Llama70B,random,0
609bc78d-791c-4fb7-a774-7024b538f80e,,"('SERVICE', 'NEGATIVE', 'Bedienung')
",,Die Bedienung war sehr langsam.,Llama70B,random,0
7e6034e4-2361-4ff0-8f52-3734c6467fa8,,"('PRICE', 'POSITIVE', 'Preise')
",,Die Preise sind auch gut.,Llama70B,random,0
0978062f-7aba-410d-9fe5-72d4df20b785,,"('AMBIENCE', 'NEGATIVE', 'Schmuck')
",,Insgesamt ist der Schmuck des Restaurants sehr düster.,Llama70B,random,0
61e09bba-77fe-4d8d-804f-82adad26602e,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
('AMBIENCE', 'NEGATIVE', 'Atmosphäre')
('FOOD', 'NEGATIVE', 'Kuchen')
",,"Unser Abend war sehr schön, auch wenn die Atmosphäre etwas abgeblasst und der Kuchen nicht so wie erwartet war.",Llama70B,random,0
f4203c98-4f7d-427e-9785-5608da6190fc,,"('PRICE', 'NEUTRAL', 'NULL')
",,"Nicht zu teuer, aber auch kein Schnäppchen.",Llama70B,random,0
fa1871b3-2cff-4742-b0a4-25301e3907af,,"('PRICE', 'NEGATIVE', 'Preis-Leistungsverhältnis')
",,Das Preis-Leistungsverhältnis ist sehr schlecht.,Llama70B,random,0
5401a888-0c8f-473d-b1db-e4f4e815ca52,,"('FOOD', 'POSITIVE', 'NULL')
('PRICE', 'NEUTRAL', 'Preis-Leistungsbeziehung')
",,"Toll, alles frisch zubereitet und auch bei der Preis-Leistungsbeziehung ist alles in Ordnung.",Llama70B,random,0
ac2bc910-ed89-4bb6-8d53-1b760bf582b3,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,"Schade, dass es so gelaufen ist.",Llama70B,random,0
a5216492-ed45-4835-bf3d-3d16771b3ce7,,"('PRICE', 'POSITIVE', 'Preis-Leistungsverhältnis')
('PRICE', 'POSITIVE', 'Preis-Leistungsverhältnis')
",,Ein gutes Preis-Leistungsverhältnis für ein gutes Preis-Leistungsverhältnis.,Llama70B,random,0
328bf067-5ee9-4a65-8a2d-16124ad93339,,"('SERVICE', 'NEGATIVE', 'Personal')
('SERVICE', 'NEGATIVE', 'Bedienung')
",,Das Personal war unfreundlich und die Bedienung sehr langsam.,Llama70B,random,0
87e622e6-496d-4c93-ac2b-d87cc2fe5270,,"('FOOD', 'NEUTRAL', 'Essen')
",,"Das Essen war nicht schlecht, aber auch nicht so gut wie ich es erwartet hatte.",Llama70B,random,0
37af44e5-9ebe-49e0-9e02-a4d191c8a4bb,,"('GENERAL-IMPRESSION', 'NEUTRAL', 'NULL')
",,Nicht so schlimm aber auch nicht wirklich gut.,Llama70B,random,0
2e14fe6f-f529-4950-912e-41cbca58003c,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
('FOOD', 'NEUTRAL', 'Essen')
('SERVICE', 'POSITIVE', 'Bedienung')
",,"Das Ambiente ist sehr angenehm, die Bedienung sehr freundlich und das Essen war ok.",Llama70B,random,0
f120679b-549b-4fd9-9bf0-c922ce09ff76,,,✅,Ein Service wie aus einem anderen Universum.,Llama70B,random,0
e0732641-d659-4d50-9a91-cc1923cbc198,,"('FOOD', 'POSITIVE', 'Pizza')
",,"Die Pizza war ganz schön dünn, aber dafür gut.",Llama70B,random,0
9ee4ccdf-aee9-4a87-a64a-8736f070ddeb,,"('SERVICE', 'POSITIVE', 'Service')
",,"Wir wurden sehr freundlich empfangen, der Service war perfekt.",Llama70B,random,0
7fe601ab-c91b-4568-9640-33fa2c775aa7,,,✅,Die Küche ist nicht mehr das was sie mal war.,Llama70B,random,0
a695d6e6-dc83-4b38-9e57-f06faf9b1367,,"('FOOD', 'NEUTRAL', 'Essen')
",,Das Essen war gut aber nichts besonderes.,Llama70B,random,0
551c392d-1472-45c3-a472-0d7aa6cb2078,,"('SERVICE', 'NEUTRAL', 'Service')
",,"Der Service war gut, aber nichts Besonderes.",Llama70B,random,0
db42eae2-85a3-4226-9fe1-ac4d316a4497,,"('SERVICE', 'POSITIVE', 'NULL')
('FOOD', 'POSITIVE', 'Essen')
",,Das Essen war gut und schnell serviert.,Llama70B,random,1
a7f6f49c-ab48-4b0f-9506-6fcb0f427ebb,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Ein schöner Abend in einer ansonsten eher unattraktiven Umgebung.,Llama70B,random,1
a244fca7-b6a2-424d-85f2-37451c3acc80,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
('FOOD', 'POSITIVE', 'Essen')
",,"Nur so so, Ambiente und Essen gut.",Llama70B,random,1
58dc3ad7-11cc-4dea-a169-0ab5922fc8dd,,"('PRICE', 'POSITIVE', 'Preise')
",,Die Preise sind sehr angemessen.,Llama70B,random,1
551a53db-b83c-489f-b4b8-e9790a5a8571,,"('PRICE', 'NEGATIVE', 'Preise')
",,Die Preise sind in keinster Weise gerechtfertigt.,Llama70B,random,1
c348477e-824c-4eb8-810b-81d538c7d753,,"('FOOD', 'NEGATIVE', 'Pizza')
",,Die Pizza war einfach nicht essbar.,Llama70B,random,1
e10dd190-9fce-42c1-9e53-3948daf399cd,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
('SERVICE', 'POSITIVE', 'Mitarbeiter')
",,Das Ambiente ist gemütlich und die Mitarbeiter freundlich.,Llama70B,random,1
f8339f28-e446-40d8-bd94-c46b7a50c6a0,,"('SERVICE', 'POSITIVE', 'Personal')
",,Das Personal war freundlich und zuvorkommend.,Llama70B,random,1
d5f7eed9-c2bb-46ae-95de-e4094f6c120e,,"('PRICE', 'NEGATIVE', 'Preis')
",,Ein Preis für die Qualität und Quantität ist mir aber zu hoch.,Llama70B,random,1
4e2067ab-fa82-4350-9a7c-39aeaa80e65b,,"('FOOD', 'POSITIVE', 'Essen')
('FOOD', 'POSITIVE', 'Karte')
",,"Eine schöne Karte, mit leckerem Essen.",Llama70B,random,1
58f46167-ba4a-43e5-86de-7c3845e1157f,,"('GENERAL-IMPRESSION', 'POSITIVE', 'LOC')
",,Das LOC war schon besser als heute.,Llama70B,random,1
d073fa76-e83b-4230-9c96-2f2678848ace,,"('FOOD', 'CONFLICT', 'Bier')
",,"Das Bier war zwar auch von guter Qualität, aber für den Preis konnte man es schon etwas kühler servieren.",Llama70B,random,1
89d4a78e-ec33-4f38-a03e-a31241697d01,,"('SERVICE', 'NEGATIVE', 'Service')
",✅,"Wir wollten uns nur ein Bier gönnen, aber der Service war so schlecht, dass wir lieber gegangen sind.",Llama70B,random,1
e1bdff6a-1df2-4393-ad3b-2380f2f4edff,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,"Ein Ambiente, das man sich gerne mal vorstellt, wenn es draußen kalt ist.",Llama70B,random,1
c757a02b-9a07-460a-b4e4-42ac309851f7,,"('SERVICE', 'NEGATIVE', 'Kellnerin')
",,"Bei der Aufnahme der Bestellung hätte er sich schon etwas mehr Zeit nehmen können, denn die Kellnerin war schnell überfordert.",Llama70B,random,1
f6e88cf2-83d0-4cf4-ad67-309e0fa80751,,"('PRICE', 'NEGATIVE', 'Preis-Leistungsverhältnis')
",,Preis-Leistungsverhältnis ist einfach unzumutbar.,Llama70B,random,1
a2aa0275-b8ef-4e4a-bce5-f31fc8f7a80e,,"('FOOD', 'POSITIVE', 'Kalbshaxen')
",,Die Kalbshaxen sind wirklich gut.,Llama70B,random,1
b32bcacf-df57-45b7-bf85-8e167b25aaf7,,,✅,"Für 5,50 Euro bekommt man eine große Portion Pommes mit vielen Extras.",Llama70B,random,1
fe1e6dee-74f7-403c-98ed-515a366d72ea,,"('SERVICE', 'POSITIVE', 'Personal')
('GENERAL-IMPRESSION', 'NEGATIVE', 'Lokal')
",,"Das Personal war freundlich, das Lokal hingegen ziemlich schäbig.",Llama70B,random,1
bd75258c-bfbc-425c-b143-27a76da6806f,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,Super Ambiente.,Llama70B,random,1
