"Unnamed: 0","agreement","annotation_id","annotator","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","updated_at"
10,100.0,29501699,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:16:51.560972Z","random","d18f439b-cb25-4c9b-a3e6-dc80c5f04533","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEUTRAL""]},{""end"":34,""text"":""Essen"",""start"":29,""labels"":[""FOOD-NEGATIVE""]},{""end"":51,""text"":""Ambiente"",""start"":43,""labels"":[""AMBIENCE-NEGATIVE""]}]","",13.357,"GPT-3",0,"Das Restaurant war okay, das Essen und das Ambiente waren jedoch nichts Besonderes.","2024-01-19T12:16:51.560996Z"
11,100.0,29501704,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:16:57.561949Z","random","8a065698-0c22-4c57-be6c-beb6fed2a897","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",5.184,"GPT-3",0,"Das Essen war okay.","2024-01-19T12:16:57.561966Z"
12,100.0,29501725,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:17:16.542609Z","random","66016976-4839-4042-981c-793e88788b0c","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]},{""end"":40,""text"":""Preis"",""start"":35,""labels"":[""PRICE-NEGATIVE""]}]","",18.152,"GPT-3",0,"Das Essen war in Ordnung, aber der Preis war definitiv zu hoch.","2024-01-19T12:17:16.542627Z"
13,100.0,29499759,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:44:44.186259Z","random","d4c1d2f2-9890-4bc6-81eb-08b9a1b24e5e","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",5.488,"GPT-3",0,"Das Essen war köstlich.","2024-01-19T11:44:44.186276Z"
14,100.0,29501734,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:17:26.220395Z","random","c85a5653-9c58-4158-a3e9-aa7ac2698b25","[{""end"":24,""text"":""Essens"",""start"":18,""labels"":[""FOOD-NEGATIVE""]}]","",8.867,"GPT-3",0,"Der Geschmack des Essens war enttäuschend.","2024-01-19T12:17:26.220414Z"
15,100.0,29500961,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:02:11.221541Z","random","421f58c9-0bfb-46bc-9637-4d738d1aef50","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",4.194,"GPT-3",0,"Das Essen war ausgezeichnet.","2024-01-19T12:02:11.221558Z"
16,100.0,29501746,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:17:37.921871Z","random","a47a861a-26c9-44df-b6f7-836de3b12981","[{""end"":15,""text"":""Preisniveau"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",10.822,"GPT-3",0,"Das Preisniveau ist angemessen.","2024-01-19T12:17:37.921887Z"
17,100.0,29499849,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:46:04.889376Z","random","39e29c2b-f075-4f09-9dd7-55615b353345","","[{""end"":11,""text"":""okay"",""start"":7,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",12.118,"GPT-3",0,"Es war okay.","2024-01-19T11:46:04.889396Z"
18,100.0,29500213,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:51:02.649083Z","random","b8e42701-0cbb-4dde-8b0d-0694ad0a842d","","[{""end"":35,""text"":""aber nichts Besonderes"",""start"":13,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",46.835,"GPT-3",0,"Es war okay, aber nichts Besonderes.","2024-01-19T11:51:02.649101Z"
19,100.0,29501143,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:05:59.059681Z","random","eb11fec1-37b1-4793-8c8c-309220ae8a94","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",18.105,"GPT-3",0,"Das Restaurant hat eine angenehme Atmosphäre.","2024-01-19T12:05:59.059699Z"
20,100.0,29501752,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:17:44.184738Z","random","cc56dbb0-868a-4274-9e7b-e122d21b6357","","[{""end"":27,""text"":""gelungener Abend"",""start"":11,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",5.358,"GPT-3",0,"Es war ein gelungener Abend.","2024-01-19T12:17:44.184757Z"
21,100.0,29501763,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:17:51.214235Z","random","db2ab4ff-1222-40dd-a1b8-c40a64d2e155","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",6.223,"GPT-3",0,"Das Ambiente ist sehr angenehm und einladend.","2024-01-19T12:17:51.214252Z"
22,100.0,29501816,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:18:36.573465Z","random","dbda1260-7d77-44c7-98b8-4303fdb504b6","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]},{""end"":43,""text"":""Essen"",""start"":38,""labels"":[""FOOD-NEGATIVE""]}]","",44.525,"GPT-3",0,"Das Ambiente war enttäuschend und das Essen war nicht gut.","2024-01-19T12:18:36.573480Z"
23,100.0,29500016,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:48:20.082236Z","random","924ce48f-f1fc-4bf2-859f-2a5b94348937","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]}]","",6.538,"GPT-3",0,"Das Essen war in Ordnung.","2024-01-19T11:48:20.082255Z"
24,100.0,29500089,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:49:21.221816Z","random","d2293718-ed5c-4527-af4c-7cf67f660ea5","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","",5.609,"GPT-3",0,"Der Service war ausgezeichnet.","2024-01-19T11:49:21.221831Z"
25,100.0,29501841,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:19:06.171062Z","random","08c450a7-5172-4931-bba0-9bf20d9a5d86","[{""end"":38,""text"":""Service"",""start"":31,""labels"":[""SERVICE-POSITIVE""]}]","",28.7,"GPT-3",0,"Das Restaurant hat einen guten Service.","2024-01-19T12:19:06.171081Z"
26,100.0,29501856,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:19:24.244215Z","random","e48ea7ff-ce2d-4e9e-8143-2547adab2f1b","[{""end"":37,""text"":""Preis-Leistungs-Verhältnis"",""start"":11,""labels"":[""PRICE-NEGATIVE""]}]","",17.161,"GPT-3",0,"Schlechtes Preis-Leistungs-Verhältnis.","2024-01-19T12:19:24.244237Z"
27,100.0,29501873,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:19:45.963069Z","random","a3af2ed9-47d6-4a0b-bff2-94c373523d41","[{""end"":9,""text"":""Preis"",""start"":4,""labels"":[""PRICE-NEGATIVE""]},{""end"":42,""text"":""Service"",""start"":35,""labels"":[""SERVICE-NEGATIVE""]}]","",20.945,"GPT-3",0,"Der Preis ist viel zu hoch und der Service lässt zu wünschen übrig.","2024-01-19T12:19:45.963091Z"
28,100.0,29501900,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:20:08.084707Z","random","fe0df614-14c9-4872-9426-539193fa5121","[{""end"":13,""text"":""Bedienung"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",21.132,"GPT-3",0,"Die Bedienung war unfreundlich und langsam.","2024-01-19T12:20:08.084726Z"
29,100.0,29500997,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:02:58.065850Z","random","f55c1bfd-1094-4ffb-873f-c36f4c975ccc","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""AMBIENCE-NEUTRAL""]}]","",14.023,"GPT-3",0,"Das Restaurant hat eine durchschnittliche Atmosphäre.","2024-01-19T12:02:58.065871Z"
30,100.0,29501922,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:20:25.261654Z","random","ae859eb6-0217-4a3b-ac83-00da0af58874","[{""end"":36,""text"":""Restaurant"",""start"":26,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]},{""end"":83,""text"":""Preis-Leistungs-Verhältnis"",""start"":57,""labels"":[""PRICE-NEGATIVE""]}]","",16.357,"GPT-3",0,"Insgesamt war ich mit dem Restaurant zufrieden, aber das Preis-Leistungs-Verhältnis könnte besser sein.","2024-01-19T12:20:25.261671Z"
31,100.0,29501934,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:20:36.113638Z","random","04c80fe7-9f08-44ef-a088-d1912e9e9769","[{""end"":29,""text"":""Preis-Leistungsverhältnis"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",10.038,"GPT-3",0,"Das Preis-Leistungsverhältnis ist angemessen.","2024-01-19T12:20:36.113656Z"
32,100.0,29501945,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:20:47.045289Z","random","c530b4ad-e58e-4d49-b26a-8712aa55ca02","[{""end"":15,""text"":""Preisniveau"",""start"":4,""labels"":[""PRICE-POSITIVE""]},{""end"":49,""text"":""Ambiente"",""start"":41,""labels"":[""AMBIENCE-NEGATIVE""]}]","",10.101,"GPT-3",0,"Das Preisniveau ist angemessen, aber das Ambiente lässt zu wünschen übrig.","2024-01-19T12:20:47.045306Z"
33,100.0,29501952,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:20:52.096656Z","random","46027531-924d-4bb7-91be-cd3b9fcf00b9","","[{""end"":21,""text"":""gelungener"",""start"":11,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",4.136,"GPT-3",0,"Ein rundum gelungener Besuch!","2024-01-19T12:20:52.096677Z"
34,100.0,29501960,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:20:57.715303Z","random","89fd85ec-0599-4c54-ac82-b962e7f17f9b","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",4.808,"GPT-3",0,"Das Essen war leider enttäuschend.","2024-01-19T12:20:57.715319Z"
35,100.0,29500466,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:54:35.306191Z","random","d971edf9-f3f5-4450-b50b-90a0fee16577","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",28.45,"GPT-3",0,"Das Restaurant hat uns enttäuscht.","2024-01-19T11:54:35.306209Z"
36,100.0,29502086,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:22:48.799158Z","random","200d4496-e42b-4822-822e-10f07db4c487","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","[{""end"":74,""text"":""enttäuschend"",""start"":62,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",110.231,"GPT-3",0,"Das Ambiente ist sehr angenehm, aber insgesamt war der Besuch enttäuschend.","2024-01-19T12:22:48.799184Z"
37,100.0,29499328,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:38:27.455045Z","random","28f2b80b-b0ca-44a3-a102-3c75067292d8","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",11.507,"GPT-3",0,"Die Preise sind angemessen.","2024-01-19T11:38:27.455063Z"
38,100.0,29502095,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:22:56.878371Z","random","e13faeb8-b150-446c-9efb-8f3562a0fe37","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":34,""text"":""Preise"",""start"":28,""labels"":[""PRICE-NEGATIVE""]}]","",7.228,"GPT-3",0,"Das Essen war gut, aber die Preise waren zu hoch.","2024-01-19T12:22:56.878396Z"
39,100.0,29502137,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:23:37.346959Z","random","965c77e4-42ef-4ea1-8805-5487867ef6e3","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]},{""end"":42,""text"":""Preis"",""start"":37,""labels"":[""PRICE-POSITIVE""]},{""end"":74,""text"":""Ambiente"",""start"":66,""labels"":[""AMBIENCE-POSITIVE""]}]","",39.57,"GPT-3",0,"Das Essen war enttäuschend, aber der Preis war angemessen und das Ambiente war schön.","2024-01-19T12:23:37.346979Z"
40,100.0,29500814,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:59:24.900846Z","random","697c6b78-ed3b-4107-9f06-310c2a408378","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",5.965,"GPT-3",0,"Das Essen war leider nicht gut.","2024-01-19T11:59:24.900868Z"
41,100.0,29499933,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:47:18.315563Z","random","9282661c-a42c-4a97-b6d3-1b2d1b4567ab","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",2.536,"GPT-3",0,"Die Atmosphäre war sehr angenehm.","2024-01-19T11:47:18.315581Z"
42,100.0,29501195,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:07:00.510768Z","random","15c9d742-a50d-4998-846d-3f4342e647b6","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEGATIVE""]}]","",5.695,"GPT-3",0,"Das Ambiente war enttäuschend.","2024-01-19T12:07:00.510786Z"
43,100.0,29499364,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:38:53.247190Z","random","4e56fa11-d1b6-4d5a-b2e9-cf29664bbcab","[{""end"":10,""text"":""Preise"",""start"":4,""labels"":[""PRICE-POSITIVE""]}]","",15.544,"GPT-3",0,"Die Preise sind angemessen.","2024-01-19T11:38:53.247207Z"
44,100.0,29500288,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:51:59.158280Z","random","3a345349-cb45-4bee-956e-bae4d9e7546c","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",15.883,"GPT-3",0,"Das Essen war leider nicht besonders gut.","2024-01-19T11:51:59.158295Z"
45,100.0,29502155,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:23:53.393045Z","random","8cc6aab7-8c3c-4d1a-8954-4de85bb3c61e","[{""end"":21,""text"":""Restaurant"",""start"":11,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]},{""end"":54,""text"":""Atmosphäre"",""start"":44,""labels"":[""AMBIENCE-POSITIVE""]},{""end"":73,""text"":""Essen"",""start"":68,""labels"":[""FOOD-POSITIVE""]}]","",15.147,"GPT-3",0,"Ein tolles Restaurant mit einer gemütlichen Atmosphäre und leckerem Essen.","2024-01-19T12:23:53.393064Z"
46,100.0,29502162,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:24:02.815841Z","random","08c497f0-81f8-469c-83e7-9911e2389a1c","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEUTRAL""]}]","",8.569,"GPT-3",0,"Das Restaurant hinterließ bei uns einen eher durchschnittlichen Eindruck.","2024-01-19T12:24:02.815860Z"
47,100.0,29499937,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:47:21.493863Z","random","ef6573bd-9bb0-48d5-a8b9-ad22dcfed82b","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",2.204,"GPT-3",0,"Die Atmosphäre war sehr angenehm.","2024-01-19T11:47:21.493883Z"
48,100.0,29502169,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:24:10.954626Z","random","7e2a39aa-c51d-4a87-88c7-eb7d3beafd96","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","[{""end"":63,""text"":""Besuch enttäuschend"",""start"":44,""labels"":[""GENERAL-IMPRESSION-NEGATIVE-no-phrase""]}]",7.318,"GPT-3",0,"Der Service war gut, aber insgesamt war der Besuch enttäuschend.","2024-01-19T12:24:10.954644Z"
49,100.0,29502187,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:24:27.420774Z","random","ead0acc9-705c-404e-af19-d47a203b872a","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]},{""end"":41,""text"":""Ambiente"",""start"":33,""labels"":[""AMBIENCE-POSITIVE""]}]","",15.661,"GPT-3",0,"Das Essen war in Ordnung und das Ambiente war auch ganz nett.","2024-01-19T12:24:27.420794Z"
50,100.0,29499764,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:44:47.855260Z","random","a15365cd-84dd-4c80-a7fd-731910c0db5b","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]}]","",2.709,"GPT-3",0,"Das Essen war köstlich.","2024-01-19T11:44:47.855279Z"
51,100.0,29502200,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:24:43.492154Z","random","e1534759-e24c-44c6-b462-3c582a9d455b","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]},{""end"":49,""text"":""Ambiente"",""start"":41,""labels"":[""AMBIENCE-POSITIVE""]}]","",15.162,"GPT-3",0,"Der Service war super freundlich und das Ambiente sehr angenehm.","2024-01-19T12:24:43.492176Z"
52,100.0,29499534,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:41:12.175187Z","random","436c89ef-df45-4782-8f5a-5e83097c9659","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEUTRAL""]}]","",6.593,"GPT-3",0,"Der Service war in Ordnung.","2024-01-19T11:41:12.175206Z"
53,100.0,29499856,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:46:09.444790Z","random","ef5a419f-e9fa-4030-ab0f-4e5076eaa638","","[{""end"":11,""text"":""okay"",""start"":7,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",3.176,"GPT-3",0,"Es war okay.","2024-01-19T11:46:09.444808Z"
54,100.0,29502222,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:03.775779Z","random","a00d4ff4-dd75-4409-a1b2-404239f021ad","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":38,""text"":""Preis"",""start"":33,""labels"":[""PRICE-POSITIVE""]}]","",19.409,"GPT-3",0,"Das Essen war zwar gut, aber der Preis war angemessen.","2024-01-19T12:25:03.775799Z"
55,100.0,29502225,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:10.015804Z","random","8bb03f19-f05d-437f-986c-dad06f3e0cf1","[{""end"":12,""text"":""Ambiente"",""start"":4,""labels"":[""AMBIENCE-NEUTRAL""]}]","",5.389,"GPT-3",0,"Das Ambiente war okay.","2024-01-19T12:25:10.015824Z"
56,100.0,29502232,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:17.751584Z","random","e217729d-e089-44cb-a51a-f764e072f843","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]}]","",6.813,"GPT-3",0,"Das Restaurant hat mich enttäuscht.","2024-01-19T12:25:17.751602Z"
57,100.0,29499858,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:46:14.146261Z","random","afe8ee62-124f-45d2-ab70-3f6a27c62abf","","[{""end"":6,""text"":""war"",""start"":3,""labels"":[""GENERAL-IMPRESSION-NEUTRAL-no-phrase""]}]",3.801,"GPT-3",0,"Es war okay.","2024-01-19T11:46:14.146276Z"
58,100.0,29502241,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:27.358239Z","random","6aec619f-9b2a-4e9e-8b96-2433ca8f5635","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEGATIVE""]}]","",8.646,"GPT-3",0,"Das Essen war leider enttäuschend.","2024-01-19T12:25:27.358259Z"
59,100.0,29502248,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:34.998528Z","random","c9b24c8c-d51b-47f6-9707-50a40c3b7879","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-POSITIVE""]}]","",6.847,"GPT-3",0,"Der Service war sehr aufmerksam und zuvorkommend.","2024-01-19T12:25:34.998548Z"
60,100.0,29502252,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:40.905841Z","random","37b1c863-2453-46dd-b8ba-c0a0e32cffcb","[{""end"":19,""text"":""Servicepersonal"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",5.089,"GPT-3",0,"Das Servicepersonal war sehr unfreundlich und langsam.","2024-01-19T12:25:40.905861Z"
61,100.0,29502259,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:49.809552Z","random","5656018e-e339-493a-9170-82ce6d177c67","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-NEUTRAL""]},{""end"":34,""text"":""Preis"",""start"":29,""labels"":[""PRICE-NEGATIVE""]}]","",8.107,"GPT-3",0,"Das Essen war okay, aber der Preis war definitiv zu hoch.","2024-01-19T12:25:49.809569Z"
62,100.0,29502266,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:25:56.433803Z","random","8b4691bd-a768-4268-bfd8-7ae3cbd9611a","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",5.703,"GPT-3",0,"Der Service war sehr unfreundlich und langsam.","2024-01-19T12:25:56.433825Z"
63,100.0,29502280,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:26:20.155371Z","random","19154a27-1cc9-41b8-ad88-5004b537a476","[{""end"":12,""text"":""Personal"",""start"":4,""labels"":[""SERVICE-POSITIVE""]},{""end"":65,""text"":""Wartezeiten"",""start"":54,""labels"":[""SERVICE-NEGATIVE""]}]","",22.825,"GPT-3",0,"Das Personal war freundlich und hilfsbereit, aber die Wartezeiten waren etwas lang.","2024-01-19T12:26:20.155394Z"
64,100.0,29502285,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:26:25.165535Z","random","c5793b8f-2c6b-4851-986b-7a84cfd7fd24","[{""end"":11,""text"":""Service"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",4.234,"GPT-3",0,"Der Service war sehr unfreundlich und langsam.","2024-01-19T12:26:25.165552Z"
